drug_id,MAE,RMSE,MAPE
D001,47.15623592461861,54.809518202778236,1.371342482669439
D002,7.125450342793026,8.37871499481069,0.4636451385609291
D003,20.46874099556271,25.357204177448025,1.5018366110419248
D004,25.005207902446916,27.999672294342275,3.103830462923576
D005,30.149890246453953,45.7085534529627,1.508396336342053
D006,77.71329883930746,81.09847550732509,2.565828150123746
D007,61.35535608100516,67.5006092943744,3.6767651753310835
D008,14.629159720205697,15.912308698992854,1.901103518500678
D009,20.065172201916692,21.75361747020376,1.6874267127737115
D010,13.502080513551846,16.463282404921387,0.7574510671781997
D011,11.754367658699229,17.184815713974228,1.1775666914113267
D012,11.827082238871375,13.926535910040727,1.9062501940622614
D013,127.09908645906201,180.27428069719264,3.30259972809688
D014,16.366028867604502,23.168113432875604,0.6862325396646791
D015,13.400998456838428,13.723520497960106,1.035300651414722
D016,14.146136584410764,14.921983412649068,2.6953279586785386
D017,22.96183263144773,26.051181576527785,1.677056550233723
D018,11.225627815027034,12.832339591134819,1.5526511815359807
D019,25.161116212146073,29.504647181881268,3.9593187147468045
D020,24.20992794040175,25.770046787298767,2.8221873731764964
D021,85.52456528818614,93.9414205244231,3.5358937665658354
D022,24.800240672473063,28.801275013257193,2.18378283281956
D023,9.557378831158607,9.694454441406268,1.562726576676176
D024,16.337343418436376,23.31056638766433,0.9816514439995918
D025,36.89023656488886,38.688130040831446,2.917164223767903
D026,13.934439079348673,16.212502089444637,1.3001594890836126
D027,20.210802636316355,22.067425845566415,2.424695660357708
D028,96.0360347478977,103.29800490201963,3.6749088164662136
D029,33.7474546362508,36.65548426904476,1.9114554870333835
D030,34.341363507718974,43.617624355481226,2.071427475176667
D031,22.139446085172533,27.276409688869972,2.197700506377242
D032,45.53137886196654,59.88851595264631,2.326514529786972
D033,54.96160599009909,62.158050892531726,3.19589712513084
D034,8.493182195086641,9.146223990238639,1.860122246818502
D035,12.301017250673189,13.707546378842391,3.2815217621946573
